1000,5584
1050,5503
1100,621
1150,555
1200,509
1250,576
1300,895
1350,826
1400,524
1450,1017
1500,705
1550,979
1600,526
1650,940
1700,1029
1750,1072
1800,740
1850,934
1900,787
1950,842
2000,966
2050,1246
2100,929
2150,1621
2200,1073
2250,1616
2300,1122
2350,1345
2400,1861
2450,1798
2500,1344
2550,1580
2600,1924
2650,1701
2700,1590
2750,2684
2800,1742
2850,2307
2900,1958
2950,2814
3000,2299
3050,2583
3100,3259
3150,2098
3200,2778
3250,2684
3300,2242
3350,3597
3400,3124
3450,4726
3500,2733
3550,3184
3600,3344
3650,3600
3700,3372
3750,6761
3800,4043
3850,3594
3900,7265
3950,4896
4000,3640
4050,3452
4100,3756
4150,3582
4200,4551
4250,7369
4300,5162
4350,5298
4400,4075
4450,7555
4500,6160
4550,6708
4600,5233
4650,5688
4700,5387
4750,6760
4800,7614
4850,7405
4900,7300
4950,7575
5000,9445
5050,8911
5100,5290
5150,6941
5200,5740
5250,9152
5300,7026
5350,6340
5400,6130
5450,6456
5500,6855
5550,8081
5600,7127
5650,8758
5700,7522
5750,9787
5800,14471
5850,8980
5900,11512
5950,7472
6000,8001
6050,8462
6100,11307
6150,11777
6200,8192
6250,10580
6300,11860
6350,8424
6400,10454
6450,9403
6500,8592
6550,9650
6600,10105
6650,12442
6700,21950
6750,16166
6800,11350
6850,15047
6900,14761
6950,14416
7000,20446
7050,10569
7100,16993
7150,25772
7200,13147
7250,11265
7300,12893
7350,11635
7400,22983
7450,22912
7500,17295
7550,25337
7600,25174
7650,19698
7700,17060
7750,22617
7800,12730
7850,22205
7900,15470
7950,13703
8000,15350
8050,13166
8100,18627
8150,13508
8200,26351
8250,15862
8300,14285
8350,15555
8400,20317
8450,28404
8500,22745
8550,19034
8600,22716
8650,16025
8700,17648
8750,20089
8800,19982
8850,20195
8900,23681
8950,24317
9000,22791
9050,28227
9100,17189
9150,17967
9200,23212
9250,18788
9300,20796
9350,29597
9400,22221
9450,20752
9500,21737
9550,21449
9600,28673
9650,19248
9700,30971
9750,21546
9800,22176
9850,27592
9900,22246
9950,23087
10000,32674
